index,i_a,i_b,i_c,u_a,u_b,di_1,di_2
541,-22.0794677734375,16.13616943359375,5.50079345703125,1101.9315185546875,1022.6085815429688,0,0
542,-20.36285400390625,19.1650390625,0.72479248046875,1111.2279052734375,975.0148315429688,0,0
543,-17.46368408203125,21.41571044921875,-4.302978515625,1104.356689453125,920.9540405273438,0,0
544,-14.19830322265625,22.15576171875,-8.33892822265625,1095.66650390625,869.6214599609375,0,0
545,-11.23809814453125,22.7813720703125,-11.8865966796875,1075.557861328125,810.1040649414062,0,0
546,-7.0343017578125,22.6287841796875,-15.89202880859375,1040.494140625,751.4960327148438,0,0
547,-2.23541259765625,20.93505859375,-18.9056396484375,999.9737548828125,698.2435913085938,0,0
548,1.56402587890625,18.951416015625,-20.62225341796875,952.7842407226562,643.3743896484375,0,0
549,5.53131103515625,16.96014404296875,-22.56011962890625,895.6919555664062,592.1429443359375,0,0
550,10.06317138671875,13.4124755859375,-23.50616455078125,838.8017578125,554.7550659179688,0,0
551,13.45062255859375,9.27734375,-22.6593017578125,782.9220581054688,523.7332153320312,0,0
552,16.29638671875,5.62286376953125,-21.7437744140625,722.1920776367188,498.57220458984375,0,0
553,19.46258544921875,1.15966796875,-20.6451416015625,664.796630859375,489.57891845703125,0,0
554,21.43096923828125,-3.56292724609375,-18.01300048828125,616.6976318359375,492.2061767578125,0,0
555,22.08709716796875,-7.43865966796875,-14.85443115234375,570.4175415039062,498.16802978515625,0,0
556,22.979736328125,-11.20758056640625,-12.0086669921875,531.716064453125,519.5902709960938,0,0
557,23.07891845703125,-15.045166015625,-8.331298828125,508.2728271484375,553.3403930664062,0,0
558,20.8282470703125,-17.791748046875,-3.2501220703125,488.7705383300781,588.606201171875,0,0
559,18.707275390625,-20.050048828125,1.09100341796875,481.6971435546875,637.109375,0,0
560,16.82281494140625,-22.430419921875,5.30242919921875,489.07366943359375,695.212158203125,0,0
561,13.1988525390625,-23.41461181640625,9.7503662109375,506.0497741699219,751.2939453125,0,0
562,9.34600830078125,-23.01025390625,13.17596435546875,527.9772338867188,807.2747192382812,0,0
563,5.85174560546875,-22.45330810546875,16.204833984375,562.2326049804688,867.29736328125,0,0
564,1.41143798828125,-21.3165283203125,19.5465087890625,610.634765625,923.9854736328125,0,0
565,-3.1585693359375,-18.62335205078125,21.41571044921875,660.04736328125,973.1959838867188,0,0
566,-6.84356689453125,-15.869140625,22.2930908203125,713.40087890625,1020.9918212890625,0,0
